,District,Latitude,Longitude
0,Agra,26.995129749103942,78.05278291517324
1,Aligarh,27.93748576850095,78.00146831119545
2,Prayagraj,25.392038662316477,82.05172446982056
3,Ambedkar Nagar,26.39119025974026,82.68282142857143
4,Auraiya,26.668923940149625,79.42637057356609
5,Azamgarh,26.00829095477387,83.01220251256281
6,Budaun,28.085956727272727,78.997108
7,Baghpat,29.0457935,77.302663
8,Bahraich,27.691776300578038,81.46779783236994
9,Ballia,25.860756382978725,84.03651978723404
10,Balrampur,27.449076537911303,82.47158326180258
11,Banda,25.35188590250329,80.52487391304348
12,Barabanki,26.922777025232403,81.3576235059761
13,Bareilly,28.511019407894736,79.43187072368421
14,Basti,26.833880454545454,82.6979059090909
15,Bijnor,29.313974259681093,78.4509881548975
16,Bulandshahr,28.348758620689658,78.0108275862069
17,Chandauli,25.11808596112311,83.2530706263499
18,Chitrakoot,25.15992462380301,81.076660875513
19,Deoria,26.422188565488568,83.82440706860707
20,Etah,27.591155309734514,78.7002185840708
21,Etawah,26.78817670157068,79.07621806282722
22,Ayodhya,26.605891851851855,82.00783530864199
23,Farrukhabad,27.450632978723405,79.4406284574468
24,Fatehpur,25.83743620309051,80.85416203090509
25,Firozabad,27.209639930555554,78.42660625
26,Gautam Buddha Nagar,28.39331103896104,77.52462467532467
27,Ghaziabad,28.749973085846868,77.67441879350348
28,Ghazipur,25.624724775583484,83.53608545780969
29,Gonda,27.157215552099533,82.02268880248835
30,Gorakhpur,26.633158867924525,83.35495603773585
31,Hamirpur,25.73815838150289,79.82619479768786
32,Hardoi,27.33740909090909,80.26411767676768
33,Hathras,27.578146612466124,78.1825108401084
34,Jalaun,26.06795458715596,79.36686911314985
35,Jaunpur,25.70141280913126,82.54315351934052
36,Jhansi,25.455815352348996,78.89954580536913
37,Amroha,28.870498984771572,78.39009365482234
38,Kannauj,26.99398861788618,79.64437940379405
39,Kanpur Nagar,26.37046935483871,80.29251572580645
40,Kanpur Dehat,26.430476411960132,79.98710083056478
41,Kaushambi,25.535875320512822,81.41811282051282
42,Kushinagar,26.892530675909878,83.92261542461006
43,Lakhimpur Kheri,28.091854006243498,80.64732466181061
44,Lalitpur,24.58877161016949,78.60082330508475
45,Lucknow,26.838233589251438,80.89706026871401
46,Maharajganj,27.177099107142855,83.46127857142856
47,Mahoba,25.34529670138889,79.67863003472222
48,Mainpuri,27.173868623024834,79.03501851015801
49,Mathura,27.593904328018223,77.62153416856492
50,Mau,26.010822037914693,83.50582654028436
51,Meerut,29.029576256983237,77.80611005586593
52,Mirzapur,25.102079591836734,82.60126628571429
53,Moradabad,28.851770406189555,78.73580193423598
54,Muzaffarnagar,29.47050797773655,77.6401784786642
55,Pilibhit,28.52024175035868,79.90103974175037
56,Pratapgarh,25.86484273170732,81.93530048780488
57,Raebareli,26.25390284005979,81.22260463378177
58,Rampur,28.832447272727272,79.10977333333334
59,Saharanpur,30.033811652173913,77.59905147826086
60,Sant Kabir Nagar,26.791596516393444,83.03877643442623
61,Bhadohi,25.364578743068392,82.43494990757856
62,Shahjahanpur,27.99138935064935,79.83022753246753
63,Shravasti,27.60491787709497,81.79319776536313
64,Siddharth Nagar,27.207384839203673,82.78664992343032
65,Sitapur,27.50199596309112,80.85288881199538
66,Sonbhadra,24.46693268858801,83.06816324951645
67,Sultanpur,26.28463864197531,82.05710456790123
68,Unnao,26.63163990895296,80.63677329286799
69,Varanasi,25.36057088888889,82.82529666666667
70,Amethi,26.317,81.633
71,Hapur,28.7306,77.7759
72,Kasganj,27.8083,78.6458
73,Shamli,29.45,77.32
74,Sambhal,28.5904,78.5718
